"","total_size_bytes","file_count","avg_size_bytes"
"htm","7556829704482","39626124","190703.23"
"xml","5487580734754","12126942","452511.5"
"jpg","1760575964313","17496975","100621.73"
"pdf","731400163395","279577","2616095.61"
"xls","254063664863","152410","1666975.03"
"txt","248068859593","4049227","61263.26"
"zip","205181878026","863723","237555.19"
"gif","142562657617","2620069","54411.8"
"json","129268309455","550551","234798.06"
"xlsx","41434461258","721292","57444.78"
"xsd","35743957057","832307","42945.64"
"fil","2740603155","109453","25039.09"
"png","2528666373","119723","21120.97"
"css","2290066926","855781","2676.0"
"js","1277196859","855781","1492.43"
"html","36972177","584","63308.52"
"xfd","9600700","2878","3335.89"
"paper","2195962","14738","149.0"
"frm","1316451","417","3156.96"
