"","paper","fil","gif","htm","jpg","pdf","txt","xml","xsd","","np.nan","css","js","xls","zip","frm","xfd","html","json","png","xlsx"
"04","1566.0","6946.0","91719.0","411523.0","157623.0","7078.0","439117.0","277702.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"05","1415.0","6887.0","120915.0","546307.0","234743.0","7143.0","383370.0","272664.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"03","1229.0","6973.0","70954.0","295167.0","92246.0","7105.0","450173.0","146409.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","37444.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"07","1248.0","6819.0","200599.0","731372.0","412452.0","11593.0","221626.0","279541.0","270.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"02","1394.0","6956.0","41334.0","135778.0","35750.0","4883.0","440928.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"06","1589.0","6397.0","174559.0","640086.0","326364.0","10086.0","297667.0","269704.0","134.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","169952.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
