"","paper","fil","gif","htm","jpg","pdf","txt","xml","xsd","","np.nan","css","js","xls","zip","frm","xfd","html","json","png","xlsx"
"04","233334.0","158629440.0","2042737022.0","68381632699.0","8963347640.0","2855165426.0","23626097205.0","2082867536.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"05","210835.0","160107166.0","4958503488.0","98265776650.0","14568724540.0","2786385233.0","22608521930.0","2139584990.0","643291.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","444180361.0","2607749.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"03","183121.0","158845403.0","1532799317.0","45713074352.0","3945931433.0","2174980645.0","24678538972.0","848744314.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9316545576.0","1913689766.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"07","185952.0","168245589.0","6908075718.0","161717599866.0","21376301953.0","4252331339.0","15810221261.0","2713673065.0","27249180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"02","207706.0","145938822.0","980861103.0","20058258500.0","1610425411.0","1417983282.0","25983623278.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"06","236761.0","152365756.0","6854340260.0","144472197192.0","17158807776.0","3666525240.0","20921774425.0","2260940581.0","5157171.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21547247312.0","9699264417.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","674791.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26382463921.0","7493077027.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"09","108025.0","157646763.0","9071375515.0","148382420042.0","24333580287.0","2824412651.0","8167820996.0","3319033037.0","18286129.0","0.0","0.0","5278.0","12620.0","3858660.0","168889.0","0.0","0.0","0.0","0.0","0.0","0.0"
"99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31824596668.0","1792424343.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"00","0.0","0.0","15634814.0","1494326721.0","122490957.0","233096017.0","16239592871.0","0.0","0.0","12131780504.0","5195965384.0","0.0","0.0","0.0","0.0","1212192.0","7512019.0","0.0","0.0","0.0","0.0"
"08","157940.0","169378921.0","7633171672.0","141775404390.0","22964464210.0","3502184970.0","10183933042.0","2496391804.0","52091029.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
